LAUS_code,state_fips,county_fips,county_state,year,labor_force,employed,unemployed,unemployment_rate
CN3403900000000,34,39,"Union County, NJ",2021,285486,266463,19023,6.7
CN3404100000000,34,41,"Warren County, NJ",2021,58523,55292,3231,5.5
CN3500100000000,35,1,"Bernalillo County, NM",2021,334378,313598,20780,6.2
CN3500300000000,35,3,"Catron County, NM",2021,1182,1109,73,6.2
CN3500500000000,35,5,"Chaves County, NM",2021,27776,25813,1963,7.1
CN3500600000000,35,6,"Cibola County, NM",2021,8875,8050,825,9.3
CN3500700000000,35,7,"Colfax County, NM",2021,5645,5313,332,5.9
CN3500900000000,35,9,"Curry County, NM",2021,22066,20979,1087,4.9
CN3501100000000,35,11,"De Baca County, NM",2021,682,647,35,5.1
CN3501300000000,35,13,"Dona Ana County, NM",2021,98170,91648,6522,6.6
CN3501500000000,35,15,"Eddy County, NM",2021,31522,29501,2021,6.4
CN3501700000000,35,17,"Grant County, NM",2021,11457,10626,831,7.3
CN3501900000000,35,19,"Guadalupe County, NM",2021,1634,1520,114,7.0
CN3502100000000,35,21,"Harding County, NM",2021,281,268,13,4.6
CN3502300000000,35,23,"Hidalgo County, NM",2021,1888,1786,102,5.4
CN3502500000000,35,25,"Lea County, NM",2021,27957,25280,2677,9.6
CN3502700000000,35,27,"Lincoln County, NM",2021,8843,8183,660,7.5
CN3502800000000,35,28,"Los Alamos County, NM",2021,10035,9737,298,3.0
CN3502900000000,35,29,"Luna County, NM",2021,9989,8471,1518,15.2
CN3503100000000,35,31,"McKinley County, NM",2021,23454,21209,2245,9.6
CN3503300000000,35,33,"Mora County, NM",2021,1998,1874,124,6.2
CN3503500000000,35,35,"Otero County, NM",2021,25093,23434,1659,6.6
CN3503700000000,35,37,"Quay County, NM",2021,2956,2747,209,7.1
CN3503900000000,35,39,"Rio Arriba County, NM",2021,16592,15424,1168,7.0
CN3504100000000,35,41,"Roosevelt County, NM",2021,7904,7465,439,5.6
CN3504300000000,35,43,"Sandoval County, NM",2021,67732,63252,4480,6.6
CN3504500000000,35,45,"San Juan County, NM",2021,49527,45550,3977,8.0
CN3504700000000,35,47,"San Miguel County, NM",2021,10367,9609,758,7.3
CN3504900000000,35,49,"Santa Fe County, NM",2021,72572,68094,4478,6.2
CN3505100000000,35,51,"Sierra County, NM",2021,4074,3742,332,8.1
CN3505300000000,35,53,"Socorro County, NM",2021,6166,5777,389,6.3
CN3505500000000,35,55,"Taos County, NM",2021,14663,13352,1311,8.9
CN3505700000000,35,57,"Torrance County, NM",2021,5412,4986,426,7.9
CN3505900000000,35,59,"Union County, NM",2021,1572,1506,66,4.2
CN3506100000000,35,61,"Valencia County, NM",2021,30901,28782,2119,6.9
CN3600100000000,36,1,"Albany County, NY",2021,156527,149645,6882,4.4
CN3600300000000,36,3,"Allegany County, NY",2021,19042,18098,944,5.0
CN3600500000000,36,5,"Bronx County, NY",2021,606729,524483,82246,13.6
CN3600700000000,36,7,"Broome County, NY",2021,81423,77161,4262,5.2
CN3600900000000,36,9,"Cattaraugus County, NY",2021,32847,31107,1740,5.3
CN3601100000000,36,11,"Cayuga County, NY",2021,35130,33473,1657,4.7
CN3601300000000,36,13,"Chautauqua County, NY",2021,52786,49847,2939,5.6
CN3601500000000,36,15,"Chemung County, NY",2021,34549,32734,1815,5.3
CN3601700000000,36,17,"Chenango County, NY",2021,21630,20678,952,4.4
CN3601900000000,36,19,"Clinton County, NY",2021,35269,33639,1630,4.6
CN3602100000000,36,21,"Columbia County, NY",2021,30238,29085,1153,3.8
CN3602300000000,36,23,"Cortland County, NY",2021,22100,20978,1122,5.1
CN3602500000000,36,25,"Delaware County, NY",2021,18914,18042,872,4.6
CN3602700000000,36,27,"Dutchess County, NY",2021,142246,135918,6328,4.4
CN3602900000000,36,29,"Erie County, NY",2021,435588,411823,23765,5.5
CN3603100000000,36,31,"Essex County, NY",2021,16744,15955,789,4.7
CN3603300000000,36,33,"Franklin County, NY",2021,19114,18211,903,4.7
CN3603500000000,36,35,"Fulton County, NY",2021,22353,21121,1232,5.5
CN3603700000000,36,37,"Genesee County, NY",2021,29268,28024,1244,4.3
CN3603900000000,36,39,"Greene County, NY",2021,20305,19302,1003,4.9
CN3604100000000,36,41,"Hamilton County, NY",2021,2210,2112,98,4.4
CN3604300000000,36,43,"Herkimer County, NY",2021,27514,25918,1596,5.8
CN3604500000000,36,45,"Jefferson County, NY",2021,43765,41564,2201,5.0
CN3604700000000,36,47,"Kings County, NY",2021,1193447,1072663,120784,10.1
CN3604900000000,36,49,"Lewis County, NY",2021,11534,10955,579,5.0
CN3605100000000,36,51,"Livingston County, NY",2021,29821,28533,1288,4.3
CN3605300000000,36,53,"Madison County, NY",2021,32206,30749,1457,4.5
CN3605500000000,36,55,"Monroe County, NY",2021,360379,341760,18619,5.2
CN3605700000000,36,57,"Montgomery County, NY",2021,21900,20661,1239,5.7
CN3605900000000,36,59,"Nassau County, NY",2021,708286,676654,31632,4.5
CN3606100000000,36,61,"New York County, NY",2021,894457,826846,67611,7.6
CN3606300000000,36,63,"Niagara County, NY",2021,96212,90759,5453,5.7
CN3606500000000,36,65,"Oneida County, NY",2021,100177,95112,5065,5.1
CN3606700000000,36,67,"Onondaga County, NY",2021,219876,209099,10777,4.9
CN3606900000000,36,69,"Ontario County, NY",2021,54962,52622,2340,4.3
CN3607100000000,36,71,"Orange County, NY",2021,183818,175160,8658,4.7
CN3607300000000,36,73,"Orleans County, NY",2021,16976,16100,876,5.2
CN3607500000000,36,75,"Oswego County, NY",2021,51853,48999,2854,5.5
CN3607700000000,36,77,"Otsego County, NY",2021,26786,25595,1191,4.4
CN3607900000000,36,79,"Putnam County, NY",2021,50366,48268,2098,4.2
CN3608100000000,36,81,"Queens County, NY",2021,1127854,1019350,108504,9.6
CN3608300000000,36,83,"Rensselaer County, NY",2021,80735,77206,3529,4.4
CN3608500000000,36,85,"Richmond County, NY",2021,221184,201965,19219,8.7
CN3608700000000,36,87,"Rockland County, NY",2021,153829,147064,6765,4.4
CN3608900000000,36,89,"St. Lawrence County, NY",2021,42919,40730,2189,5.1
CN3609100000000,36,91,"Saratoga County, NY",2021,119267,114754,4513,3.8
CN3609300000000,36,93,"Schenectady County, NY",2021,76733,72958,3775,4.9
CN3609500000000,36,95,"Schoharie County, NY",2021,14511,13852,659,4.5
CN3609700000000,36,97,"Schuyler County, NY",2021,8046,7649,397,4.9
CN3609900000000,36,99,"Seneca County, NY",2021,15025,14317,708,4.7
CN3610100000000,36,101,"Steuben County, NY",2021,41448,39389,2059,5.0
CN3610300000000,36,103,"Suffolk County, NY",2021,776355,740989,35366,4.6
CN3610500000000,36,105,"Sullivan County, NY",2021,36118,34350,1768,4.9
CN3610700000000,36,107,"Tioga County, NY",2021,21974,21005,969,4.4
CN3610900000000,36,109,"Tompkins County, NY",2021,48914,47093,1821,3.7
CN3611100000000,36,111,"Ulster County, NY",2021,86356,82332,4024,4.7
CN3611300000000,36,113,"Warren County, NY",2021,31045,29531,1514,4.9
CN3611500000000,36,115,"Washington County, NY",2021,27402,26147,1255,4.6
CN3611700000000,36,117,"Wayne County, NY",2021,42847,40936,1911,4.5
CN3611900000000,36,119,"Westchester County, NY",2021,480109,457009,23100,4.8
CN3612100000000,36,121,"Wyoming County, NY",2021,17916,17115,801,4.5
CN3612300000000,36,123,"Yates County, NY",2021,11527,11089,438,3.8
CN3700100000000,37,1,"Alamance County, NC",2021,81009,77122,3887,4.8
CN3700300000000,37,3,"Alexander County, NC",2021,17283,16553,730,4.2
CN3700500000000,37,5,"Alleghany County, NC",2021,4224,4029,195,4.6
CN3700700000000,37,7,"Anson County, NC",2021,10111,9469,642,6.3
CN3700900000000,37,9,"Ashe County, NC",2021,12614,12113,501,4.0
CN3701100000000,37,11,"Avery County, NC",2021,7380,7089,291,3.9
CN3701300000000,37,13,"Beaufort County, NC",2021,19472,18537,935,4.8
CN3701500000000,37,15,"Bertie County, NC",2021,7203,6778,425,5.9
CN3701700000000,37,17,"Bladen County, NC",2021,14223,13397,826,5.8
CN3701900000000,37,19,"Brunswick County, NC",2021,54167,50920,3247,6.0
CN3702100000000,37,21,"Buncombe County, NC",2021,136123,130418,5705,4.2
CN3702300000000,37,23,"Burke County, NC",2021,39264,37481,1783,4.5
CN3702500000000,37,25,"Cabarrus County, NC",2021,109654,104845,4809,4.4
CN3702700000000,37,27,"Caldwell County, NC",2021,35073,33340,1733,4.9
CN3702900000000,37,29,"Camden County, NC",2021,4514,4336,178,3.9
CN3703100000000,37,31,"Carteret County, NC",2021,31149,29867,1282,4.1
CN3703300000000,37,33,"Caswell County, NC",2021,9473,8970,503,5.3
CN3703500000000,37,35,"Catawba County, NC",2021,76433,72869,3564,4.7
CN3703700000000,37,37,"Chatham County, NC",2021,36405,35108,1297,3.6
CN3703900000000,37,39,"Cherokee County, NC",2021,10592,10066,526,5.0
CN3704100000000,37,41,"Chowan County, NC",2021,5510,5238,272,4.9
CN3704300000000,37,43,"Clay County, NC",2021,3970,3775,195,4.9
CN3704500000000,37,45,"Cleveland County, NC",2021,47667,45132,2535,5.3
CN3704700000000,37,47,"Columbus County, NC",2021,22400,20994,1406,6.3
CN3704900000000,37,49,"Craven County, NC",2021,40693,38789,1904,4.7
CN3705100000000,37,51,"Cumberland County, NC",2021,125305,116685,8620,6.9
CN3705300000000,37,53,"Currituck County, NC",2021,14215,13632,583,4.1
CN3705500000000,37,55,"Dare County, NC",2021,19631,18462,1169,6.0
CN3705700000000,37,57,"Davidson County, NC",2021,79091,75503,3588,4.5
CN3705900000000,37,59,"Davie County, NC",2021,20130,19269,861,4.3
CN3706100000000,37,61,"Duplin County, NC",2021,24263,23200,1063,4.4
CN3706300000000,37,63,"Durham County, NC",2021,174877,167710,7167,4.1
CN3706500000000,37,65,"Edgecombe County, NC",2021,20260,18531,1729,8.5
CN3706700000000,37,67,"Forsyth County, NC",2021,183512,174514,8998,4.9
CN3706900000000,37,69,"Franklin County, NC",2021,32086,30577,1509,4.7
CN3707100000000,37,71,"Gaston County, NC",2021,108927,103270,5657,5.2
CN3707300000000,37,73,"Gates County, NC",2021,4963,4749,214,4.3
CN3707500000000,37,75,"Graham County, NC",2021,3022,2814,208,6.9
CN3707700000000,37,77,"Granville County, NC",2021,29541,28364,1177,4.0
CN3707900000000,37,79,"Greene County, NC",2021,9364,8980,384,4.1
CN3708100000000,37,81,"Guilford County, NC",2021,254780,240484,14296,5.6
CN3708300000000,37,83,"Halifax County, NC",2021,19179,17747,1432,7.5
CN3708500000000,37,85,"Harnett County, NC",2021,52943,50144,2799,5.3
CN3708700000000,37,87,"Haywood County, NC",2021,28887,27662,1225,4.2
CN3708900000000,37,89,"Henderson County, NC",2021,53037,50879,2158,4.1
CN3709100000000,37,91,"Hertford County, NC",2021,8518,7962,556,6.5
CN3709300000000,37,93,"Hoke County, NC",2021,19848,18568,1280,6.4
CN3709500000000,37,95,"Hyde County, NC",2021,1767,1652,115,6.5
CN3709700000000,37,97,"Iredell County, NC",2021,89608,85477,4131,4.6
CN3709900000000,37,99,"Jackson County, NC",2021,19488,18611,877,4.5
CN3710100000000,37,101,"Johnston County, NC",2021,101800,97527,4273,4.2
CN3710300000000,37,103,"Jones County, NC",2021,4155,3979,176,4.2
CN3710500000000,37,105,"Lee County, NC",2021,25322,23956,1366,5.4
CN3710700000000,37,107,"Lenoir County, NC",2021,26890,25558,1332,5.0
CN3710900000000,37,109,"Lincoln County, NC",2021,43823,42039,1784,4.1
CN3711100000000,37,111,"McDowell County, NC",2021,19903,19006,897,4.5
CN3711300000000,37,113,"Macon County, NC",2021,15285,14641,644,4.2
CN3711500000000,37,115,"Madison County, NC",2021,9623,9212,411,4.3
CN3711700000000,37,117,"Martin County, NC",2021,8617,8140,477,5.5
CN3711900000000,37,119,"Mecklenburg County, NC",2021,618847,588559,30288,4.9
CN3712100000000,37,121,"Mitchell County, NC",2021,5928,5623,305,5.1
CN3712300000000,37,123,"Montgomery County, NC",2021,11014,10499,515,4.7
CN3712500000000,37,125,"Moore County, NC",2021,40161,38325,1836,4.6
CN3712700000000,37,127,"Nash County, NC",2021,42040,39381,2659,6.3
CN3712900000000,37,129,"New Hanover County, NC",2021,122709,117512,5197,4.2
CN3713100000000,37,131,"Northampton County, NC",2021,7178,6731,447,6.2
CN3713300000000,37,133,"Onslow County, NC",2021,65070,61732,3338,5.1
CN3713500000000,37,135,"Orange County, NC",2021,79254,76516,2738,3.5
CN3713700000000,37,137,"Pamlico County, NC",2021,5296,5069,227,4.3
CN3713900000000,37,139,"Pasquotank County, NC",2021,16273,15397,876,5.4
CN3714100000000,37,141,"Pender County, NC",2021,29066,27841,1225,4.2
CN3714300000000,37,143,"Perquimans County, NC",2021,4824,4568,256,5.3
CN3714500000000,37,145,"Person County, NC",2021,18428,17515,913,5.0
CN3714700000000,37,147,"Pitt County, NC",2021,87237,82839,4398,5.0
CN3714900000000,37,149,"Polk County, NC",2021,9029,8607,422,4.7
CN3715100000000,37,151,"Randolph County, NC",2021,63631,60655,2976,4.7
CN3715300000000,37,153,"Richmond County, NC",2021,16248,15059,1189,7.3
CN3715500000000,37,155,"Robeson County, NC",2021,48147,44504,3643,7.6
CN3715700000000,37,157,"Rockingham County, NC",2021,38593,36458,2135,5.5
CN3715900000000,37,159,"Rowan County, NC",2021,64309,61070,3239,5.0
CN3716100000000,37,161,"Rutherford County, NC",2021,24050,22494,1556,6.5
CN3716300000000,37,163,"Sampson County, NC",2021,27818,26567,1251,4.5
CN3716500000000,37,165,"Scotland County, NC",2021,11096,10041,1055,9.5
CN3716700000000,37,167,"Stanly County, NC",2021,29425,28141,1284,4.4
CN3716900000000,37,169,"Stokes County, NC",2021,20998,20112,886,4.2
CN3717100000000,37,171,"Surry County, NC",2021,32011,30618,1393,4.4
CN3717300000000,37,173,"Swain County, NC",2021,6833,6525,308,4.5
CN3717500000000,37,175,"Transylvania County, NC",2021,14101,13524,577,4.1
CN3717700000000,37,177,"Tyrrell County, NC",2021,1283,1193,90,7.0
CN3717900000000,37,179,"Union County, NC",2021,122890,118088,4802,3.9
CN3718100000000,37,181,"Vance County, NC",2021,16724,15401,1323,7.9
CN3718300000000,37,183,"Wake County, NC",2021,594675,571029,23646,4.0
CN3718500000000,37,185,"Warren County, NC",2021,6437,5941,496,7.7
CN3718700000000,37,187,"Washington County, NC",2021,4273,3977,296,6.9
CN3718900000000,37,189,"Watauga County, NC",2021,28395,27356,1039,3.7
CN3719100000000,37,191,"Wayne County, NC",2021,50451,47916,2535,5.0
CN3719300000000,37,193,"Wilkes County, NC",2021,27164,25885,1279,4.7
CN3719500000000,37,195,"Wilson County, NC",2021,33434,31183,2251,6.7
CN3719700000000,37,197,"Yadkin County, NC",2021,17084,16362,722,4.2
CN3719900000000,37,199,"Yancey County, NC",2021,7992,7649,343,4.3
CN3800100000000,38,1,"Adams County, ND",2021,967,934,33,3.4
CN3800300000000,38,3,"Barnes County, ND",2021,5273,5111,162,3.1
CN3800500000000,38,5,"Benson County, ND",2021,2300,2186,114,5.0
CN3800700000000,38,7,"Billings County, ND",2021,444,431,13,2.9
CN3800900000000,38,9,"Bottineau County, ND",2021,2976,2834,142,4.8
CN3801100000000,38,11,"Bowman County, ND",2021,1581,1542,39,2.5
CN3801300000000,38,13,"Burke County, ND",2021,1046,1001,45,4.3
CN3801500000000,38,15,"Burleigh County, ND",2021,51696,50080,1616,3.1
CN3801700000000,38,17,"Cass County, ND",2021,107219,104116,3103,2.9
CN3801900000000,38,19,"Cavalier County, ND",2021,1870,1812,58,3.1
CN3802100000000,38,21,"Dickey County, ND",2021,2265,2204,61,2.7
CN3802300000000,38,23,"Divide County, ND",2021,1434,1399,35,2.4
CN3802500000000,38,25,"Dunn County, ND",2021,3096,2994,102,3.3
CN3802700000000,38,27,"Eddy County, ND",2021,1188,1141,47,4.0
CN3802900000000,38,29,"Emmons County, ND",2021,1490,1421,69,4.6
CN3803100000000,38,31,"Foster County, ND",2021,1510,1468,42,2.8
CN3803300000000,38,33,"Golden Valley County, ND",2021,838,815,23,2.7
CN3803500000000,38,35,"Grand Forks County, ND",2021,37114,35926,1188,3.2
CN3803700000000,38,37,"Grant County, ND",2021,1233,1200,33,2.7
CN3803900000000,38,39,"Griggs County, ND",2021,1026,997,29,2.8
CN3804100000000,38,41,"Hettinger County, ND",2021,1392,1347,45,3.2
CN3804300000000,38,43,"Kidder County, ND",2021,1319,1251,68,5.2
CN3804500000000,38,45,"LaMoure County, ND",2021,2043,1997,46,2.3
CN3804700000000,38,47,"Logan County, ND",2021,863,837,26,3.0
CN3804900000000,38,49,"McHenry County, ND",2021,3135,2999,136,4.3
